country,KMeans_Cluster,DBSCAN_Cluster,KMeans_Silhouette,KMeans_DaviesBouldin,KMeans_CalinskiHarabasz
Germany,0,-1,0.34265474105126204,1.1136713454787641,99.41029182481138
Ghana,1,-1,0.34265474105126204,1.1136713454787641,99.41029182481138
Greece,0,1,0.34265474105126204,1.1136713454787641,99.41029182481138
Grenada,2,-1,0.34265474105126204,1.1136713454787641,99.41029182481138
Guatemala,2,-1,0.34265474105126204,1.1136713454787641,99.41029182481138
Guinea,1,-1,0.34265474105126204,1.1136713454787641,99.41029182481138
Guinea-Bissau,1,-1,0.34265474105126204,1.1136713454787641,99.41029182481138
Guyana,2,-1,0.34265474105126204,1.1136713454787641,99.41029182481138
Haiti,1,-1,0.34265474105126204,1.1136713454787641,99.41029182481138
Hungary,2,0,0.34265474105126204,1.1136713454787641,99.41029182481138
Iceland,0,-1,0.34265474105126204,1.1136713454787641,99.41029182481138
India,2,-1,0.34265474105126204,1.1136713454787641,99.41029182481138
Indonesia,2,-1,0.34265474105126204,1.1136713454787641,99.41029182481138
Iran,2,-1,0.34265474105126204,1.1136713454787641,99.41029182481138
Iraq,1,-1,0.34265474105126204,1.1136713454787641,99.41029182481138
Ireland,0,-1,0.34265474105126204,1.1136713454787641,99.41029182481138
Israel,0,-1,0.34265474105126204,1.1136713454787641,99.41029182481138
Italy,0,1,0.34265474105126204,1.1136713454787641,99.41029182481138
Jamaica,2,-1,0.34265474105126204,1.1136713454787641,99.41029182481138
Japan,0,1,0.34265474105126204,1.1136713454787641,99.41029182481138
Jordan,2,-1,0.34265474105126204,1.1136713454787641,99.41029182481138
Kazakhstan,2,-1,0.34265474105126204,1.1136713454787641,99.41029182481138
Kenya,1,-1,0.34265474105126204,1.1136713454787641,99.41029182481138
Kiribati,1,-1,0.34265474105126204,1.1136713454787641,99.41029182481138
Kuwait,0,-1,0.34265474105126204,1.1136713454787641,99.41029182481138
Kyrgyz Republic,2,-1,0.34265474105126204,1.1136713454787641,99.41029182481138
Lao,1,-1,0.34265474105126204,1.1136713454787641,99.41029182481138
Latvia,2,0,0.34265474105126204,1.1136713454787641,99.41029182481138
Lebanon,2,0,0.34265474105126204,1.1136713454787641,99.41029182481138
Lesotho,1,-1,0.34265474105126204,1.1136713454787641,99.41029182481138
